Marcas,Nombre,Precio normal,Descripción corta,Categorías,Valor(es) del atributo 5
Jordan,Air Jordan 3 Retro Mocha 2018,,"<span class="""" title="""">Air Jordan 3 Mocha marca el regreso de 2018 del amado colorway.</span> <span class="""" title="""">Uno de los primeros colores de estilo de vida no originales del modelo icónico que se lanzó, el Mocha Jordan 3 se lanzó por primera vez en 2001 y regresó 17 años después por primera vez.</span>","Hombres, Hombres > Zapatillas > Jordan, Zapatillas > Jordan, Hombres > Zapatillas, Zapatillas","Air Jordan, Air Jordan 3"
,Air Jordan 3 Retro Mocha 2018,2880,,,
Jordan,Air Jordan 5 Retro París Saint-Germain,,PSG x Air Jordan 5 fue parte de una nueva y emocionante colaboración de Jordan Brand y el club de fútbol profesional francés Paris Saint-Germain que se lanzó en el otoño de 2018.,"Hombres, Hombres > Zapatillas > Jordan, Zapatillas > Jordan, Hombres > Zapatillas, Zapatillas","Air Jordan, Air Jordan 5"
,Air Jordan 5 Retro París Saint-Germain,2999,,,
Adidas,Adidas Yeezy 700 Mauve,,Adidas Yeezy Boost 700 Mauve es el segundo colorway de la popular silueta gruesa para correr de Kanye West.,"Hombres, Hombres > Zapatillas > Adidas, Zapatillas > Adidas, Zapatillas > Yeezy, Hombres > Zapatillas, Zapatillas","Yeezy, Yeezy 700"
,Adidas Yeezy 700 Mauve,2630,,,
Jordan,Air Jordan 3 Retro SE Fire Red Denim 2020,,Air Jordan 3 Denim Fire Red es un color alternativo del tercer zapato exclusivo de Michael Jordan que presenta un acento basado en mezclilla.,"Hombres, Hombres > Zapatillas > Jordan, Zapatillas > Jordan, Hombres > Zapatillas, Zapatillas","Air Jordan, Air Jordan 3"
,Air Jordan 3 Retro SE Fire Red Denim 2020,1960,,,
Apple,Beats Solo3 Wireless Headphones Mickey,,Audífonos inalámbricos Beats Solo3 Wireless Headphones Mickey de la edición del 90 aniversario de Mickey. Mantenga la magia con un sonido galardonado y hasta 40 horas de duración de la batería. El audífono de color gris frío presenta a Mickey Mouse en la pose icónica que se ve en las camisetas clásicas que todos conocemos y amamos.,"Hombres, Hombres > Accesorios, Hombres > Accesorios > Audífonos",
,Beats Solo3 Wireless Headphones Mickey - Gray,1999,,,
Nike,Nike Air Force 1 De lo Mio,,"Esta edición especial de Nike Air Vapormax Run Utility Urban presenta un color ecléctico pero sutil. Anclado por el clásico blanco y negro, se eleva con un toque de Tropical Twist en la protección del talón y Team Orange en el sistema de cordones, lengüeta y suela exterior.","Hombres, Hombres > Zapatillas > Nike, Zapatillas > Nike, Hombres > Zapatillas, Zapatillas",Nike Air Force 1
,Nike Air Force 1 De lo Mio,3390,,,
Jordan,Air Jordan 1 Retro High Spider-Man Origin Story,,Air Jordan 1 RETRO HIGH SPIDER MAN ORIGIN STORY es una edición especial del primer zapato exclusivo de Michael Jordan que celebra el lanzamiento en 2018 de la película de Marvel Spider-Man: Into the Spider-Verse.,"Hombres, Hombres > Zapatillas > Jordan, Zapatillas > Jordan, Hombres > Zapatillas, Zapatillas","Air Jordan, Air Jordan 1"
,Air Jordan 1 Retro High Spider-Man Origin Story,4450,,,
